Siruta,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Localitate
147884,0.0,0.0,102.41313660161828,0.0,0.0,0.0,0.0,0.0,0.0,Crucea
33202,42.336878782321655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dumitra
98738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Romanesti
164277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dimitrie Cantemir
74171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Secu
139704,279.04607984883404,479.78672144523813,135.18304536410096,49.48831183703852,29303.370127546274,682.031750576177,0.0,717.2182601600413,1242.4669682351089,Municipiul Zalau
156106,83.50129198966408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boldur
41417,402.17049291019583,20.812626603646184,30009.080351114113,0.0,0.0,0.0,0.0,0.0,0.0,Mandra
115147,178.41493383742912,104.49968494013862,62.38216761184625,0.0,0.0,39.95746691871456,0.0,0.0,0.0,Alunis
131540,1668.522616984402,71.57530329289428,10.289341421143847,0.0,0.0,1989.6639514731369,53.366464471403816,35.335355285961874,9.686221837088388,Oras Sinaia
98774,123.13444857496903,72.96390954151177,0.0,0.0,134.15597893432465,0.0,0.0,0.0,0.0,Ruginoasa
66009,97.20554272517322,6.6251732101616625,820.5526558891455,0.0,0.0,0.0,0.0,10.267205542725174,0.0,Branesti
49625,697.5290920716112,0.0,16.07320971867008,0.0,177.63650895140665,0.0,0.0,205.41943734015345,0.0,Stalpu
82396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Telesti
139740,1480.616267079144,6594.048079401908,8.478989430265532,0.0,0.0,133.11278680072184,0.0,5186.007347254447,0.0,Oras Cehu Silvaniei
172509,0.0,0.0,400.18201997780244,0.0,0.0,0.0,0.0,0.0,0.0,Racovita
33248,231.30173279758915,0.0,253.6115017579106,0.0,0.0,0.0,0.0,128.46923656454044,0.0,Feldru
106979,257.24379505805956,347.0468878982995,6257.035661218425,417.64586428925213,0.0,0.0,0.0,6.884101040118871,0.0,Oras Viseu De Sus
147937,1367.4386976428693,195.825334916059,0.2340172969306427,0.0,0.0,0.0,0.0,0.0,0.0,Darmanesti
57831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Geaca
123371,933.8253189401374,0.0,4.0978900883218845,0.0,0.0,0.0,0.0,0.0,0.0,Pastraveni
49643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tisau
25068,140.37105603662786,128.831790584254,410.50353339305263,0.0,0.0,0.0,0.0,0.0,0.0,Sascut
115183,1.6890835157960589,9.97685329996872,149.38504848295275,0.0,0.0,0.0,0.0,0.0,0.0,Apold
